"Question: In hindsight, do you think Britain was right or wrong to vote to leave the EU?",,
Source: NatCen Social Research,,
,,
Date,% responding right,% responding wrong
02/08/16,46,42
09/08/16,45,44
17/08/16,46,43
23/08/16,45,43
31/08/16,47,44
14/09/16,46,43
12/10/16,45,44
20/10/16,45,44
15/11/16,46,43
29/11/16,44,45
05/12/16,44,42
19/12/16,44,44
04/01/17,47,43
10/01/17,46,42
18/01/17,46,42
31/01/17,45,42
13/02/17,46,42
22/02/17,45,45
28/02/17,45,44
14/03/17,44,42
15/03/17,46,41
21/03/17,44,44
27/03/17,44,43
06/04/17,46,42
13/04/17,45,43
19/04/17,46,43
21/04/17,44,44
26/04/17,43,45
03/05/17,46,43
10/05/17,44,45
14/05/17,45,41
17/05/17,46,43
25/05/17,46,43
31/05/17,44,45
07/06/17,45,45
13/06/17,44,45
22/06/17,44,45
11/07/17,45,43
19/07/17,43,43
01/08/17,45,45
22/08/17,43,45
31/08/17,44,44
24/09/17,44,45
11/10/17,42,47
19/10/17,42,45
20/10/17,42,44
24/10/17,43,45
08/11/17,42,46
05/12/17,42,45
11/12/17,44,45
20/12/17,42,45
08/01/18,42,46
17/01/18,45,44
29/01/18,40,46
06/02/18,43,44
13/02/18,42,46
20/02/18,42,45
27/02/18,44,45
06/03/18,43,45
23/03/18,44,48
27/03/18,42,45
10/04/18,42,46
17/04/18,42,45
25/04/18,42,45
01/05/18,42,47
09/05/18,43,45
14/05/18,44,45
21/05/18,43,44
29/05/18,40,47
05/06/18,44,44
12/06/18,43,46
19/06/18,43,44
20/06/18,44,45
26/06/18,43,46
04/07/18,41,46
09/07/18,42,46
11/07/18,41,46
17/07/18,42,47
23/07/18,42,46
09/08/18,42,45
13/08/18,43,47
14/08/18,43,45
21/08/18,41,47
29/08/18,42,47
04/09/18,42,48