season,episode,title,directed_by,written_by,air_date,us_views_millions,imdb_rating
1,1,The Pilot,James Burrows,David Crane & Marta Kauffman,1994-09-22,21.5,8.3
1,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,20.2,8.1
1,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,19.5,8.2
1,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,19.7,8.1
1,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,18.6,8.5
1,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,18.2,8.1
1,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,23.5,9
1,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,21.1,8.1
1,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,23.1,8.2
1,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,19.9,8.1
1,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,26.6,8.2
1,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,24,8.2
1,13,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,25.8,8.7
1,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,23.8,8.3
1,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,24.8,8.2
1,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,26.1,8.2
1,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,30.5,8.5
1,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,30.4,8.8
1,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,29.4,8.1
1,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,30,7.9
1,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,28.4,7.9
1,22,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,29.9,8.3
1,23,The One with the Birth,James Burrows,Story by : David Crane & Marta KauffmanTeleplay by : Jeff Greenstein & Jeff Strauss,1995-05-11,28.7,8.7
1,24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,1995-05-18,31.3,8.9
2,1,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1995-09-21,32.1,8.5
2,2,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,1995-09-28,29.8,8.2
2,3,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,1995-10-05,30.2,8.4
2,4,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,1995-10-12,28.1,8
2,5,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,1995-10-19,28.3,8.3
2,6,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,1995-11-02,30.2,8.6
2,7,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,1995-11-09,30.5,9
2,8,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,1995-11-16,32.9,8.5
2,9,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,1995-12-14,27.8,8
2,10,The One with Russ,Thomas Schlamme,Ira Ungerleider,1996-01-04,32.2,8
2,11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1996-01-18,31.6,8.1
2,12,The One After the Superbowl,Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,1996-01-28,52.9,8.6
2,13,The One After the Superbowl,Michael Lembeck,Jeffrey Astrof & Mike SikowitzMichael Borkow,1996-01-28,52.9,8.8
2,14,The One with the Prom Video,James Burrows,Alexa Junge,1996-02-01,33.6,9.4
2,15,The One Where Ross and Rachel...You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-02-08,32.9,8.9
2,16,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,1996-02-15,31.1,8.6
2,17,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,1996-02-22,30.2,8.3
2,18,The One Where Dr. Ramoray Dies,Michael Lembeck,Story by : Alexa JungeTeleplay by : Michael Borkow,1996-03-21,30.1,8.5
2,19,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-03-28,31.2,8.6
2,20,The One Where Old Yeller Dies,Michael Lembeck,Story by : Michael Curtis & Gregory S. MalinsTeleplay by : Adam Chase,1996-04-04,27.4,8.2
2,21,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,1996-04-25,24.7,8.2
2,22,The One with the Two Parties,Michael Lembeck,Alexa Junge,1996-05-02,25.5,9
2,23,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,1996-05-09,26.1,8.1
2,24,The One with Barry and Mindy's Wedding,Michael Lembeck,Story by : Ira UngerleiderTeleplay by : Brown Mandell,1996-05-16,29,8.2
3,1,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,1996-09-19,26.8,8.4
3,2,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,1996-09-26,26.7,9
3,3,The One with the Jam,Kevin S. Bright,Wil Calhoun,1996-10-03,25.2,8.1
3,4,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,1996-10-10,26.1,8.1
3,5,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,1996-10-17,23.3,8.1
3,6,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,1996-10-31,23.3,9.1
3,7,The One with the Race Car Bed,Gail Mancuso,Seth Kurland,1996-11-07,27.4,8.3
3,8,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,1996-11-14,28.7,8.4
3,9,The One with the Football,Kevin S. Bright,Ira Ungerleider,1996-11-21,29.3,9
3,10,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,1996-12-12,25.1,8.1
3,11,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,1997-01-09,29.8,8.6
3,12,The One with All the Jealousy,Robby Benson,Doty Abrams,1997-01-16,29.6,8.2
3,13,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,1997-01-30,28,8.2
3,14,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,1997-02-06,28.9,7.9
3,15,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,1997-02-13,27.3,8.6
3,16,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,1997-02-20,28.3,9.1
3,17,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,1997-03-06,25.8,8.3
3,18,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,1997-03-13,28.1,8.4
3,19,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,1997-03-27,23.7,8.2
3,20,The One with the Dollhouse,Terry Hughes,Wil Calhoun,1997-04-10,24.4,8.1
3,21,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,1997-04-17,23.2,8.7
3,22,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,1997-04-24,22.6,8.3
3,23,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,1997-05-01,24.2,8.1
3,24,The One with the Ultimate Fighting Champion,Robby Benson,Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Shana Goldberg-Meehan & Scott Silveri,1997-05-08,23.1,8.1
3,25,The One at the Beach,Pamela Fryman,Story by : Pang-Ni Landrum & Mark KunerthTeleplay by : Adam Chase,1997-05-15,28.8,8.8
4,1,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,1997-09-25,29.4,9.1
4,2,The One with the Cat,Shelley Jensen,"Jill Condon
& Amy Toomin",1997-10-02,25.5,8.1
4,3,The One with the Cuffs,Peter Bonerz,Seth Kurland,1997-10-09,24,8.5
4,4,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,1997-10-16,24.3,8.2
4,5,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,1997-10-30,24.4,8.4
4,6,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,1997-11-06,25.7,8.5
4,7,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,1997-11-13,26.4,8.7
4,8,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,1997-11-20,26.8,9.1
4,9,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,1997-12-11,23.9,7.9
4,10,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,1997-12-18,23.2,8.1
4,11,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,1998-01-08,23.7,8.5
4,12,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,1998-01-15,27.1,9.5
4,13,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-01-29,25.3,8.2
4,14,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,1998-02-05,25.1,8.2
4,15,The One with All the Rugby,James Burrows,Story by : Ted Cohen & Andrew ReichTeleplay by : Wil Calhoun,1998-02-26,24.4,8.5
4,16,The One with the Fake Party,Michael Lembeck,Story by : Alicia Sky VarinaitisTeleplay by : Scott Silveri & Shana Goldberg-Meehan,1998-03-19,23.1,8.2
4,17,The One with the Free Porn,Michael Lembeck,Story by : Mark KunerthTeleplay by : Richard Goodman,1998-03-26,23.2,8.6
4,18,The One with Rachel's New Dress,Gail Mancuso,Story by : Andrew Reich & Ted CohenTeleplay by : Jill Condon & Amy Toomin,1998-04-02,21.7,8.3
4,19,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,1998-04-09,21.8,8.7
4,20,The One with All the Wedding Dresses,Gail Mancuso,Story by : Adam ChaseTeleplay by : Gregory S. Malins & Michael Curtis,1998-04-16,21.9,8.5
4,21,The One with the Invitation,Peter Bonerz,Seth Kurland,1998-04-23,21.5,7.2
4,22,The One with the Worst Best Man Ever,Peter Bonerz,Story by : Seth KurlandTeleplay by : Gregory S. Malins & Michael Curtis,1998-04-30,23.2,8.5
4,23,The One with Ross' Wedding,Kevin S. Bright,Michael BorkowStory by : Jill Condon & Amy ToominTeleplay by : Shana Goldberg-Meehan & Scott Silveri,1998-05-07,31.6,8.7
4,24,The One with Ross' Wedding,Kevin S. Bright,Michael BorkowStory by : Jill Condon & Amy ToominTeleplay by : Shana Goldberg-Meehan & Scott Silveri,1998-05-07,31.6,9.2
5,1,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,1998-09-24,31.1,8.9
5,2,The One with All the Kissing,Gary Halvorson,Wil Calhoun,1998-10-01,25.4,9
5,3,The One Hundredth,Kevin S. Bright,David Crane & Marta Kauffman,1998-10-08,26.8,8.8
5,4,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,1998-10-15,24.1,8.3
5,5,The One with the Kips,Dana DeValley Piazza,Scott Silveri,1998-10-29,25.9,8.8
5,6,The One with the Yeti,Gary Halvorson,Alexa Junge,1998-11-05,25,8.1
5,7,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,1998-11-12,24.4,8.4
5,8,The One with All the Thanksgivings,Kevin S. Bright,Gregory S. Malins,1998-11-19,23.9,9.2
5,9,The One with Ross's Sandwich,Gary Halvorson,Ted Cohen & Andrew Reich,1998-12-10,23,9.1
5,10,The One with the Inappropriate Sister,Dana DeValley Piazza,Shana Goldberg-Meehan,1998-12-17,23.7,8.2
5,11,The One with All the Resolutions,Joe Regalbuto,Story by : Brian BoyleTeleplay by : Suzie Villandry,1999-01-07,27,9.1
5,12,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,1999-01-21,24.8,8.3
5,13,The One with Joey's Bag,Gail Mancuso,Story by : Michael CurtisTeleplay by : Seth Kurland,1999-02-04,24.9,8.1
5,14,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,1999-02-11,27.7,9.7
5,15,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,1999-02-18,29.3,8.5
5,16,The One with the Cop,Andrew Tsao,Story by : Alicia Sky VarinaitisTeleplay by : Gigi McCreery & Perry Rein,1999-02-25,26,8.6
5,17,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,1999-03-18,24.5,8.5
5,18,The One Where Rachel Smokes,Todd Holland,Michael Curtis,1999-04-08,21.9,8
5,19,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,1999-04-22,20.9,8.7
5,20,The One with the Ride-Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,1999-04-29,19.6,8.3
5,21,The One with the Ball,Gary Halvorson,Story by : Scott SilveriTeleplay by : Gregory S. Malins,1999-05-06,20.9,8.5
5,22,The One with Joey's Big Break,Gary Halvorson,Story by : Shana Goldberg-MeehanTeleplay by : Wil Calhoun,1999-05-13,21.3,8.3
5,23,The One in Vegas,Kevin S. Bright,Ted Cohen & Andrew ReichGregory S. Malins & Scott Silveri,1999-05-20,25.9,8.8
5,24,The One in Vegas,Kevin S. Bright,Ted Cohen & Andrew ReichGregory S. Malins & Scott Silveri,1999-05-20,25.9,9.1
6,1,The One After Vegas,Kevin S. Bright,Adam Chase,1999-09-23,27.7,8.7
6,2,The One Where Ross Hugs Rachel,Gail Mancuso,Shana Goldberg-Meehan,1999-09-30,22.9,8.2
6,3,The One with Ross's Denial,Gary Halvorson,Seth Kurland,1999-10-07,21.6,8.2
6,4,The One Where Joey Loses His Insurance,Gary Halvorson,Andrew Reich & Ted Cohen,1999-10-14,21.1,8.5
6,5,The One with Joey's Porsche,Gary Halvorson,Perry Rein & Gigi McCreery,1999-10-21,22.4,8.2
6,6,The One on the Last Night,David Schwimmer,Scott Silveri,1999-11-04,23.6,8.5
6,7,The One Where Phoebe Runs,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,1999-11-11,22.7,8.4
6,8,The One with Ross's Teeth,Gary Halvorson,Story by : Andrew Reich & Ted CohenTeleplay by : Perry Rein & Gigi McCreery,1999-11-18,22.1,8.5
6,9,The One Where Ross Got High,Kevin S. Bright,Gregory S. Malins,1999-11-25,19.2,9.2
6,10,The One with the Routine,Kevin S. Bright,Brian Boyle,1999-12-16,22.4,8.6
6,11,The One with the Apothecary Table,Kevin S. Bright,Story by : Zachary RosenblattTeleplay by : Brian Boyle,2000-01-06,22.3,8.1
6,12,The One with the Joke,Gary Halvorson,Story by : Shana Goldberg-MeehanTeleplay by : Andrew Reich & Ted Cohen,2000-01-13,22.3,8.1
6,13,The One with Rachel's Sister,Gary Halvorson,Story by : Seth KurlandTeleplay by : Sherry Bilsing-Graham & Ellen Plummer,2000-02-03,24.1,8.2
6,14,The One Where Chandler Can't Cry,Kevin S. Bright,Andrew Reich & Ted Cohen,2000-02-10,23.8,8.6
6,15,The One That Could Have Been,Michael Lembeck,Gregory S. Malins & Adam ChaseDavid Crane & Marta Kauffman,2000-02-17,20.7,8.5
6,16,The One That Could Have Been,Michael Lembeck,Gregory S. Malins & Adam ChaseDavid Crane & Marta Kauffman,2000-02-17,20.7,8.5
6,17,The One with Unagi,Gary Halvorson,Story by : Zachary RosenblattTeleplay by : Adam Chase,2000-02-24,22.1,9.1
6,18,The One Where Ross Dates a Student,Gary Halvorson,Seth Kurland,2000-03-09,20.5,8.3
6,19,The One with Joey's Fridge,Ben Weiss,Story by : Seth KurlandTeleplay by : Gigi McCreery & Perry Rein,2000-03-23,21.5,8.3
6,20,The One with Mac and C.H.E.E.S.E.,Kevin S. Bright,Doty Abrams,2000-04-13,18.8,7.4
6,21,The One Where Ross Meets Elizabeth's Dad,Michael Lembeck,Story by : David J. LaganaTeleplay by : Scott Silveri,2000-04-27,20.6,8.6
6,22,The One Where Paul's the Man,Gary Halvorson,Story by : Brian CaldirolaTeleplay by : Sherry Bilsing-Graham & Ellen Plummer,2000-05-04,20,9
6,23,The One with the Ring,Gary Halvorson,Ted Cohen & Andrew Reich,2000-05-11,20.9,8.6
6,24,The One with the Proposal,Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriAndrew Reich & Ted Cohen,2000-05-18,30.7,8.8
6,25,The One with the Proposal,Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriAndrew Reich & Ted Cohen,2000-05-18,30.7,9.3
7,1,The One with Monica's Thunder,Kevin S. Bright,Story by : Wil CalhounTeleplay by : David Crane & Marta Kauffman,2000-10-12,25.54,8.4
7,2,The One with Rachel's Book,Michael Lembeck,Andrew Reich & Ted Cohen,2000-10-12,27.93,8.3
7,3,The One with Phoebe's Cookies,Gary Halvorson,Sherry Bilsing & Ellen Plummer,2000-10-19,22.7,8.1
7,4,The One with Rachel's Assistant,David Schwimmer,Brian Boyle,2000-10-26,22.66,8.1
7,5,The One with the Engagement Picture,Gary Halvorson,Story by : Earl DavisTeleplay by : Patty Lin,2000-11-02,24.43,8.1
7,6,The One with the Nap Partners,Gary Halvorson,Brian Buckner & Sebastian Jones,2000-11-09,22.01,8.9
7,7,The One with Ross's Library Book,David Schwimmer,Scott Silveri,2000-11-16,23.73,8.5
7,8,The One Where Chandler Doesn't Like Dogs,Kevin S. Bright,Patty Lin,2000-11-23,16.57,8.2
7,9,The One with All the Candy,David Schwimmer,Wil Calhoun,2000-12-07,21.08,8.1
7,10,The One with the Holiday Armadillo,Gary Halvorson,Gregory S. Malins,2000-12-14,23.26,8.5
7,11,The One with All the Cheesecakes,Gary Halvorson,Shana Goldberg-Meehan,2001-01-04,24.37,8.6
7,12,The One Where They're Up All Night,Kevin S. Bright,Zachary Rosenblatt,2001-01-11,22.86,8.7
7,13,The One Where Rosita Dies,Stephen Prime,Story by : Ellen Plummer & Sherry BilsingTeleplay by : Brian Buckner & Sebastian Jones,2001-02-01,22.24,8.4
7,14,The One Where They All Turn Thirty,Ben Weiss,Story by : Vanessa McCarthyTeleplay by : Ellen Plummer & Sherry Bilsing,2001-02-08,22.4,8.6
7,15,The One with Joey's New Brain,Kevin S. Bright,Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Andrew Reich & Ted Cohen,2001-02-15,21.75,8.4
7,16,The One with the Truth About London,David Schwimmer,Story by : Brian Buckner & Sebastian JonesTeleplay by : Zachary Rosenblatt,2001-02-22,21.22,8.7
7,17,The One with the Cheap Wedding Dress,Kevin S. Bright,Story by : Brian Buckner & Sebastian JonesTeleplay by : Andrew Reich & Ted Cohen,2001-03-15,20.84,8.4
7,18,The One with Joey's Award,Gary Halvorson,Story by : Sherry Bilsing & Ellen PlummerTeleplay by : Brian Boyle,2001-03-29,17.81,8.4
7,19,The One with Ross and Monica's Cousin,Gary Halvorson,Andrew Reich & Ted Cohen,2001-04-19,16.55,8.7
7,20,The One with Rachel's Big Kiss,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,2001-04-26,16.3,8.4
7,21,The One with the Vows,Gary Halvorson,Doty Abrams,2001-05-03,15.65,7.5
7,22,The One with Chandler's Dad,Kevin S. Bright & Gary Halvorson,Story by : Gregory S. MalinsTeleplay by : Brian Buckner & Sebastian Jones,2001-05-10,17.23,8.4
7,23,The One with Monica and Chandler's Wedding,Kevin S. Bright,Gregory S. MalinsMarta Kauffman & David Crane,2001-05-17,30.05,8.9
7,24,The One with Monica and Chandler's Wedding,Kevin S. Bright,Gregory S. MalinsMarta Kauffman & David Crane,2001-05-17,30.05,9.2
8,1,The One After 'I Do',Kevin S. Bright,David Crane & Marta Kauffman,2001-09-27,31.7,8.7
8,2,The One with the Red Sweater,David Schwimmer,Dana Klein Borkow,2001-10-04,30.04,9.1
8,3,The One Where Rachel Tells...,Sheldon Epps,Sherry Bilsing & Ellen Plummer,2001-10-11,29.2,8.7
8,4,The One with the Videotape,Kevin S. Bright,Scott Silveri,2001-10-18,25.58,9.3
8,5,The One with Rachel's Date,Gary Halvorson,Brian Buckner & Sebastian Jones,2001-10-25,25.64,8.1
8,6,The One with the Halloween Party,Gary Halvorson,Mark Kunerth,2001-11-01,26.96,8.5
8,7,The One with the Stain,Kevin S. Bright,R. Lee Fleming Jr.,2001-11-08,24.24,7.9
8,8,The One with the Stripper,David Schwimmer,Andrew Reich & Ted Cohen,2001-11-15,26.54,8.8
8,9,The One with the Rumor,Gary Halvorson,Shana Goldberg-Meehan,2001-11-22,24.24,9.3
8,10,The One with Monica's Boots,Kevin S. Bright,Story by : Robert CarlockTeleplay by : Brian Buckner & Sebastian Jones,2001-12-06,22.44,8.1
8,11,The One with Ross's Step Forward,Gary Halvorson,Robert Carlock,2001-12-13,23.85,8
8,12,The One Where Joey Dates Rachel,David Schwimmer,Sherry Bilsing-Graham & Ellen Plummer,2002-01-10,25.53,8.6
8,13,The One Where Chandler Takes a Bath,Ben Weiss,Vanessa McCarthy,2002-01-17,29.24,8.6
8,14,The One with the Secret Closet,Kevin S. Bright,Brian Buckner & Sebastian Jones,2002-01-31,28.64,8.2
8,15,The One with the Birthing Video,Kevin S. Bright,Dana Klein Borkow,2002-02-07,28.64,8.4
8,16,The One Where Joey Tells Rachel,Ben Weiss,Andrew Reich & Ted Cohen,2002-02-28,27.52,8.3
8,17,The One with the Tea Leaves,Gary Halvorson,Story by : R. Lee Fleming Jr.Teleplay by : Steven Rosenhaus,2002-03-07,26.3,8.1
8,18,The One in Massapequa,Gary Halvorson,Story by : Peter TibbalsTeleplay by : Mark Kunerth,2002-03-28,22.05,8.2
8,19,The One with Joey's Interview,Gary Halvorson,Doty Abrams,2002-04-04,22.59,7.5
8,20,The One with the Baby Shower,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,2002-04-25,22.24,8.2
8,21,The One with the Cooking Class,Gary Halvorson,Story by : Dana Klein BorkowTeleplay by : Brian Buckner & Sebastian Jones,2002-05-02,23.97,8.2
8,22,The One Where Rachel Is Late,Gary Halvorson,Shana Goldberg-Meehan,2002-05-09,24.32,8.3
8,23,The One Where Rachel Has a Baby,Kevin S. Bright,Scott SilveriMarta Kauffman & David Crane,2002-05-16,34.91,8.8
8,24,The One Where Rachel Has a Baby,Kevin S. Bright,Scott SilveriMarta Kauffman & David Crane,2002-05-16,34.91,8.9
9,1,The One Where No One Proposes,Kevin S. Bright,Sherry Bilsing-Graham & Ellen Plummer,2002-09-26,34.01,8.6
9,2,The One Where Emma Cries,Sheldon Epps,Dana Klein Borkow,2002-10-03,28.93,8.6
9,3,The One with the Pediatrician,Roger Christiansen,Brian Buckner & Sebastian Jones,2002-10-10,26.63,8.2
9,4,The One with the Sharks,Ben Weiss,Andrew Reich & Ted Cohen,2002-10-17,25.82,8.2
9,5,The One with Phoebe's Birthday Dinner,David Schwimmer,Scott Silveri,2002-10-31,24.46,8.5
9,6,The One with the Male Nanny,Kevin S. Bright,David Crane & Marta Kauffman,2002-11-07,27.51,8.4
9,7,The One with Ross's Inappropriate Song,Gary Halvorson,Robert Carlock,2002-11-14,25.35,8.7
9,8,The One with Rachel's Other Sister,Kevin S. Bright,Shana Goldberg-Meehan,2002-11-21,26.76,8.8
9,9,The One with Rachel's Phone Number,Ben Weiss,Mark Kunerth,2002-12-05,25.43,8.2
9,10,The One with Christmas in Tulsa,Kevin S. Bright,Doty Abrams,2002-12-12,22.29,7.5
9,11,The One Where Rachel Goes Back to Work,Gary Halvorson,Story by : Judd RubinTeleplay by : Peter Tibbals,2003-01-09,23.67,8
9,12,The One with Phoebe's Rats,Ben Weiss,Story by : Dana Klein BorkowTeleplay by : Brian Buckner & Sebastian Jones,2003-01-16,23.66,8
9,13,The One Where Monica Sings,Gary Halvorson,Story by : Sherry Bilsing-Graham & Ellen PlummerTeleplay by : Steven Rosenhaus,2003-01-30,25.82,8.2
9,14,The One with the Blind Dates,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,2003-02-06,23.37,8.2
9,15,The One with the Mugging,Gary Halvorson,Peter Tibbals,2003-02-13,20.85,8.3
9,16,The One with the Boob Job,Gary Halvorson,Mark Kunerth,2003-02-20,19.52,8.2
9,17,The One with the Memorial Service,Gary Halvorson,Story by : Robert CarlockTeleplay by : Brian Buckner & Sebastian Jones,2003-03-13,21,8.5
9,18,The One with the Lottery,Gary Halvorson,Story by : Brian Buckner & Sebastian JonesTeleplay by : Sherry Bilsing-Graham & Ellen Plummer,2003-04-03,20.79,8.6
9,19,The One with Rachel's Dream,Terry Hughes,Story by : Dana Klein BorkowTeleplay by : Mark Kunerth,2003-04-17,18.25,8.1
9,20,The One with the Soap Opera Party,Sheldon Epps,Story by : Shana Goldberg-MeehanTeleplay by : Andrew Reich & Ted Cohen,2003-04-24,20.71,8.3
9,21,The One with the Fertility Test,Gary Halvorson,Story by : Scott SilveriTeleplay by : Robert Carlock,2003-05-01,19.03,8.2
9,22,The One with the Donor,Ben Weiss,Andrew Reich & Ted Cohen,2003-05-08,19.55,7.8
9,23,The One in Barbados,Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriMarta Kauffman & David Crane,2003-05-15,25.46,8.5
9,24,The One in Barbados,Kevin S. Bright,Shana Goldberg-Meehan & Scott SilveriMarta Kauffman & David Crane,2003-05-15,25.46,8.7
10,1,The One After Joey and Rachel Kiss,Kevin S. Bright,Andrew Reich & Ted Cohen,2003-09-25,24.54,8.5
10,2,The One Where Ross Is Fine,Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,2003-10-02,22.38,8.8
10,3,The One with Ross's Tan,Gary Halvorson,Brian Buckner,2003-10-09,21.87,8.8
10,4,The One with the Cake,Gary Halvorson,Robert Carlock,2003-10-23,18.77,8.3
10,5,The One Where Rachel's Sister Babysits,Roger Christiansen,Dana Klein Borkow,2003-10-30,19.37,8.2
10,6,The One with Ross's Grant,Ben Weiss,Sebastian Jones,2003-11-06,20.38,8.2
10,7,The One with the Home Study,Kevin S. Bright,Mark Kunerth,2003-11-13,20.21,8.3
10,8,The One with the Late Thanksgiving,Gary Halvorson,Shana Goldberg-Meehan,2003-11-20,20.66,8.9
10,9,The One with the Birth Mother,David Schwimmer,Scott Silveri,2004-01-08,25.49,8.6
10,10,The One Where Chandler Gets Caught,Gary Halvorson,Doty Abrams,2004-01-15,26.68,8
10,11,The One Where the Stripper Cries,Kevin S. Bright,David Crane & Marta Kauffman,2004-02-05,24.91,9
10,12,The One with Phoebe's Wedding,Kevin S. Bright,Robert Carlock & Dana Klein Borkow,2004-02-12,25.9,8.9
10,13,The One Where Joey Speaks French,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,2004-02-19,24.27,8.5
10,14,The One with Princess Consuela,Gary Halvorson,Story by : Robert CarlockTeleplay by : Tracy Reilly,2004-02-26,22.83,8.6
10,15,The One Where Estelle Dies,Gary Halvorson,Story by : Mark KunerthTeleplay by : David Crane & Marta Kauffman,2004-04-22,22.64,8.5
10,16,The One with Rachel's Going Away Party,Gary Halvorson,Andrew Reich & Ted Cohen,2004-04-29,24.51,8.9
10,17,The Last One,Kevin S. Bright,Marta Kauffman & David Crane,2004-05-06,52.46,9.7
10,18,The Last One,Kevin S. Bright,Marta Kauffman & David Crane,2004-05-06,52.46,9.7
