County,Male,Female,Intersex,Total
Total,23548056,24014716,1524,47564296
Mombasa,610257,598046,30,1208333
Kwale,425121,441681,18,866820
Kilifi,704089,749673,25,1453787
Tana River,158550,157391,2,315943
Lamu,76103,67813,4,143920
Taita/Taveta,173337,167327,7,340671
Garissa,458975,382344,34,841353
Wajir,415374,365840,49,781263
Mandera,434976,432444,37,867457
Marsabit,243548,216219,18,459785
Isiolo,139510,128483,9,268002
Meru,767698,777975,41,1545714
Tharaka-Nithi,193764,199406,7,393177
Embu,304208,304367,24,608599
Kitui,549003,587151,33,1136187
Machakos,710707,711191,34,1421932
Makueni,489691,497942,20,987653
Nyandarua,315022,323247,20,638289
Nyeri,374288,384845,31,759164
Kirinyaga,302011,308369,31,610411
Murang'a,523940,532669,31,1056640
Kiambu,1187146,1230454,135,2417735
Turkana,478087,448868,21,926976
West Pokot,307013,314213,15,621241
Samburu,156774,153546,7,310327
Trans Nzoia,489107,501206,28,990341
Uasin Gishu,580269,582889,28,1163186
Elgeyo/Marakwet,227317,227151,12,454480
Nandi,441259,444430,22,885711
Baringo,336322,330428,13,666763
Laikipia,259440,259102,18,518560
Nakuru,1077272,1084835,95,2162202
Narok,579042,578805,26,1157873
Kajiado,557098,560704,38,1117840
Kericho,450741,451008,28,901777
Bomet,434287,441379,23,875689
Kakamega,897133,970406,40,1867579
Vihiga,283678,306323,12,590013
Bungoma,812146,858389,35,1670570
Busia,426252,467401,28,893681
Siaya,471669,521496,18,993183
Kisumu,560942,594609,23,1155574
Homa Bay,539560,592367,23,1131950
Migori,536187,580214,35,1116436
Kisii,605784,661038,38,1266860
Nyamira,290907,314656,13,605576
Nairobi City,2192452,2204376,245,4397073
