Year,Total enrollment,Males,Females,4-year,2-year,Total - Public,4-year - Public,2-year - Public,Total - Private,4-year - Private,2-year - Private
1976,190305,84492,105813,179848,10457,129770,121851,7919,60535,57997,2538
1980,190989,81818,109171,181237,9752,131661,124236,7425,59328,57001,2327
1982,182639,78874,103765,171942,10697,126368,117562,8806,56271,54380,1891
1984,180803,76819,103984,171401,9402,124445,116845,7600,56358,54556,1802
1986,178628,74276,104352,167971,10657,123555,114502,9053,55073,53469,1604
1988,194151,78268,115883,183402,10749,133786,124438,9348,60365,58964,1401
1990,208682,82897,125785,198237,10445,144204,134924,9280,64478,63313,1165
1991,218366,87380,130986,207449,10917,152864,143411,9453,65502,64038,1464
1992,228963,91949,137014,217614,11349,159585,149754,9831,69378,67860,1518
1993,231198,93110,138088,219431,11767,161444,150867,10577,69754,68564,1190
1994,230162,91908,138254,218565,11597,161098,150682,10416,69064,67883,1181
1995,229418,91132,138286,218379,11039,159925,149661,10264,69493,68718,775
1996,224201,88306,135895,213309,10892,156851,146753,10098,67350,66556,794
1997,222331,86641,135690,210741,11590,153039,142326,10713,69292,68415,877
1998,223745,87163,136582,211822,11923,154244,142985,11259,69501,68837,664
1999,226592,87987,138605,213779,12813,156292,144166,12126,70300,69613,687
2000,227239,87319,139920,215172,12067,156706,145277,11429,70533,69895,638
2001,238638,90718,147920,224417,14221,164354,150831,13523,74284,73586,698
2002,247292,93538,153754,231834,15458,172203,157507,14696,75089,74327,762
2003,253257,95703,157554,236753,16504,180104,163977,16127,73153,72776,377
2004,257545,96750,160795,241030,16515,184708,168619,16089,72837,72411,426
2005,256584,96891,159693,238030,18554,186047,167916,18131,70537,70114,423
2006,255150,96508,158642,238446,16704,185894,169365,16529,69256,69081,175
2007,253415,96313,157102,236885,16530,185344,168906,16438,68071,67979,92
2008,258403,98634,159769,240133,18270,186446,168299,18147,71957,71834,123
2009,264092,100590,163502,243956,20136,194088,174099,19989,70004,69857,147
2010,265908,101605,164303,245158,20750,193840,173233,20607,72068,71925,143
2011,263435,100526,162909,242881,20554,192042,171664,20378,71393,71217,176
2012,251527,96079,155448,232897,18630,183018,164578,18440,68509,68319,190
2013,241485,92491,148994,223491,17994,175308,157640,17668,66177,65851,326
2014,231888,88469,143419,214630,17258,167246,150383,16863,64642,64247,395
2015,228263,86905,141358,211899,16364,163709,147577,16132,64554,64322,232
