Total,"Total, percent of all persons age 25 and over","Standard Errors - Total, percent of all persons age 25 and over",White1,Standard Errors - White1,Black1,Standard Errors - Black1,Hispanic,Standard Errors - Hispanic,Total - Asian/Pacific Islander,Standard Errors - Total - Asian/Pacific Islander,Asian/Pacific Islander - Asian,Standard Errors - Asian/Pacific Islander - Asian,Asian/Pacific Islander - Pacific Islander,Standard Errors - Asian/Pacific Islander - Pacific Islander,"American Indian/
Alaska Native","Standard Errors - American Indian/
Alaska Native",Two or more race,Standard Errors - Two or more race
19103,13.5,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
19203,16.4,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
19303,19.1,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1940,24.5,(—),26.1,(—),7.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1950,34.3,(—),36.4,(—),13.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,41.1,(—),43.2,(—),21.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1970,55.2,(—),57.4,(—),36.1,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1975,62.5,(—),65.8,(—),42.6,(—),38.5,(—),—,(†),—,(†),—,(†),—,(†),—,(†)
1980,68.6,-0.2,71.900000000000006,-0.21,51.4,-0.81,44.5,-1.18,—,(†),—,(†),—,(†),—,(†),—,(†)
1985,73.9,-0.18,77.5,-0.19,59.9,-0.74,47.9,-0.99,—,(†),—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,74.7,-0.18,78.2,-0.19,62.5,-0.72,48.5,-0.96,—,(†),—,(†),—,(†),—,(†),—,(†)
1987,75.6,-0.17,79,-0.18,63.6,-0.71,50.9,-0.94,—,(†),—,(†),—,(†),—,(†),—,(†)
1988,76.2,-0.17,79.8,-0.18,63.5,-0.7,51,-0.92,—,(†),—,(†),—,(†),—,(†),—,(†)
1989,76.9,-0.17,80.7,-0.18,64.7,-0.69,50.9,-0.89,82.3,-1.17,—,(†),—,(†),—,(†),—,(†)
1990,77.6,-0.17,81.400000000000006,-0.17,66.2,-0.67,50.8,-0.88,84.2,-1.0900000000000001,—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,78.4,-0.16,82.4,-0.17,66.8,-0.66,51.3,-0.86,84.2,-1.05,—,(†),—,(†),—,(†),—,(†)
1992,79.4,-0.16,83.4,-0.16,67.7,-0.65,52.6,-0.85,83.7,-1.02,—,(†),—,(†),—,(†),—,(†)
1993,80.2,-0.16,84.1,-0.16,70.5,-0.63,53.1,-0.83,84.2,-1,—,(†),—,(†),—,(†),—,(†)
1994,80.9,-0.15,84.9,-0.16,73,-0.61,53.3,-0.78,84.8,-0.98,—,(†),—,(†),—,(†),—,(†)
1995,81.7,-0.15,85.9,-0.16,73.8,-0.61,53.4,-0.78,83.8,-1.06,—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,81.7,-0.16,86,-0.16,74.599999999999994,-0.53,53.1,-0.68,83.5,-0.82,—,(†),—,(†),—,(†),—,(†)
1997,82.1,-0.14000000000000001,86.3,-0.15,75.3,-0.52,54.7,-0.54,85.2,-0.75,—,(†),—,(†),—,(†),—,(†)
1998,82.8,-0.14000000000000001,87.1,-0.14000000000000001,76.400000000000006,-0.5,55.5,-0.53,84.9,-0.74,—,(†),—,(†),—,(†),—,(†)
1999,83.4,-0.14000000000000001,87.7,-0.14000000000000001,77.400000000000006,-0.49,56.1,-0.52,84.7,-0.73,—,(†),—,(†),—,(†),—,(†)
2000,84.1,-0.13,88.4,-0.14000000000000001,78.900000000000006,-0.48,57,-0.51,85.7,-0.71,—,(†),—,(†),—,(†),—,(†)
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,84.3,-0.13,88.7,-0.13,79.5,-0.47,56.5,-0.5,87.8,-0.6,—,(†),—,(†),—,(†),—,(†)
2002,84.1,-0.09,88.7,-0.1,79.2,-0.34,57,-0.34,87.7,-0.44,—,(†),—,(†),—,(†),—,(†)
2003,84.6,-0.09,89.4,-0.09,80.3,-0.33,57,-0.33,87.8,-0.43,87.8,-0.44,88.2,-1.87,77.2,-1.64,86.1,-0.97
2004,85.2,-0.09,90,-0.09,81.099999999999994,-0.32,58.4,-0.32,86.9,-0.43,86.9,-0.44,88.5,-1.91,77.8,-1.61,87.2,-0.91
2005,85.2,-0.14000000000000001,90.1,-0.16,81.400000000000006,-0.44,58.5,-0.53,87.8,-0.62,87.7,-0.62,90.1,-2.69,75.599999999999994,-2.02,88.6,-0.83
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,85.5,-0.15,90.5,-0.15,81.2,-0.43,59.3,-0.57999999999999996,87.5,-0.71,87.5,-0.71,85.7,-2.5099999999999998,78.5,-2.11,88.1,-0.9
2007,85.7,-0.15,90.6,-0.15,82.8,-0.39,60.3,-0.56000000000000005,88,-0.79,87.9,-0.81,88.6,-2.2999999999999998,80.3,-2.27,89.3,-0.87
2008,86.6,-0.15,91.5,-0.15,83.3,-0.4,62.3,-0.57999999999999996,89,-0.62,88.8,-0.64,94.4,-1,78.400000000000006,-2.74,89.5,-1.1200000000000001
2009,86.7,-0.15,91.6,-0.15,84.2,-0.44,61.9,-0.56000000000000005,88.4,-0.61,88.3,-0.63,90.8,-1.76,81.5,-1.83,87.4,-0.96
2010,87.1,-0.13,92.1,-0.14000000000000001,84.6,-0.41,62.9,-0.53,89.1,-0.67,89.1,-0.68,90.2,-1.95,80.8,-1.76,88.9,-0.9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,87.6,-0.13,92.4,-0.14000000000000001,84.8,-0.41,64.3,-0.54,88.8,-0.55000000000000004,88.7,-0.56999999999999995,90.4,-1.61,82.3,-1.77,89.4,-1
2012,87.6,-0.15,92.5,-0.14000000000000001,85.7,-0.4,65,-0.59,89.2,-0.59,89,-0.61,91.6,-1.33,81.8,-1.69,91,-0.89
2013,88.2,-0.14000000000000001,92.9,-0.13,85.9,-0.42,66.2,-0.52,90.2,-0.51,90.2,-0.53,89.5,-1.72,82.2,-1.68,92.6,-0.75
2014,88.3,-0.15,93.1,-0.17,86.7,-0.45,66.5,-0.56999999999999995,89.5,-0.62,89.5,-0.64,88.8,-2.15,81,-2.0099999999999998,93.3,-0.88
2015,88.4,-0.12,93.3,-0.13,87.7,-0.37,66.7,-0.48,88.9,-0.49,89.1,-0.51,85.1,-2.04,83.8,-1.64,91.6,-0.87
2016,89.1,-0.13,93.8,-0.13,87.7,-0.34,68.5,-0.48,90.7,-0.49,90.6,-0.51,93.3,-1.38,84.7,-1.35,92.8,-0.83
