entity,code,year,net_forest_conversion
Algeria,DZA,1990,-8800
Algeria,DZA,2000,33900
Algeria,DZA,2010,7600
Algeria,DZA,2015,-1400.0000000000005
Argentina,ARG,1990,-182600
Argentina,ARG,2000,-316400
Argentina,ARG,2010,-223400
Argentina,ARG,2015,-104800
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Australia,AUS,1990,-206810.0000000001
Australia,AUS,2000,-226799.99999999994
Australia,AUS,2010,709680.0000000002
Austria,AUT,1990,6249.999999999999
Austria,AUT,2000,2510.0000000000005
Austria,AUT,2010,3600.0000000000005
Austria,AUT,2015,3590.000000000001
Azerbaijan,AZE,2010,9079.999999999998
Azerbaijan,AZE,2015,14159.999999999995
Bahrain,BHR,1990,10
Bahrain,BHR,2000,10
Bahrain,BHR,2010,20
Bahrain,BHR,2015,20
Bangladesh,BGD,1990,0
Bangladesh,BGD,2000,-3200
Bangladesh,BGD,2010,-990.000000000002
Bangladesh,BGD,2015,0
Belarus,BLR,2000,26110.000000000007
Belarus,BLR,2010,19900
Belarus,BLR,2015,26820
Belgium,BEL,2010,-110.0000000000001
Belgium,BEL,2015,0
Belize,BLZ,1990,-14070
Belize,BLZ,2000,-6790
Belize,BLZ,2010,-11710
Belize,BLZ,2015,-11160
Bhutan,BTN,1990,9930
Bhutan,BTN,2000,9930
Bhutan,BTN,2010,1980
Bhutan,BTN,2015,1980
Bolivia,BOL,1990,-270330
Bolivia,BOL,2000,-201540
Bolivia,BOL,2010,-211760
Bolivia,BOL,2015,-238690
Brazil,BRA,1990,-3780940
Brazil,BRA,2000,-3950790
Brazil,BRA,2010,-1539179.9999999995
Brazil,BRA,2015,-1453040
Bulgaria,BGR,1990,4800
Bulgaria,BGR,2000,36200
Bulgaria,BGR,2010,19200
Bulgaria,BGR,2015,12000
Burundi,BDI,1990,-8250
Burundi,BDI,2000,0
Burundi,BDI,2010,17140
Burundi,BDI,2015,0
Cameroon,CMR,1990,-90250
Cameroon,CMR,2000,-69700
Cameroon,CMR,2010,-56000
Cameroon,CMR,2015,-56000
Canada,CAN,1990,-47100
Canada,CAN,2000,-47980
Canada,CAN,2010,-41300
Canada,CAN,2015,-37520
Cape Verde,CPV,2000,300.00000000000034
Cape Verde,CPV,2010,300.00000000000034
Cape Verde,CPV,2015,300.00000000000017
Cayman Islands,CYM,1990,-20
Cayman Islands,CYM,2000,-20
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,1990,-30000
Central African Republic,CAF,2000,-30000
Central African Republic,CAF,2010,-30000
Central African Republic,CAF,2015,-30000
Chile,CHL,1990,57100
Chile,CHL,2000,90820
Chile,CHL,2010,174160
Chile,CHL,2015,122920
China,CHN,1990,1986000
China,CHN,2000,2360980
China,CHN,2010,1936770
China,CHN,2015,1936790
Colombia,COL,1990,-222260
Colombia,COL,2000,-192770
Colombia,COL,2010,-134630
Colombia,COL,2015,-198550
Congo,COG,1990,-12000
Congo,COG,2000,-12000
Congo,COG,2010,-12000
Congo,COG,2015,-13800
Costa Rica,CRI,1990,-5020
Costa Rica,CRI,2000,1400
Costa Rica,CRI,2010,16370.000000000002
Costa Rica,CRI,2015,16370.000000000002
Croatia,HRV,2000,3500
Croatia,HRV,2010,400
Croatia,HRV,2015,3420.0000000000005
Cuba,CUB,1990,37700
Cuba,CUB,2000,49700
Cuba,CUB,2010,50400
Cuba,CUB,2015,11600
Denmark,DNK,1990,4019.9999999999995
Denmark,DNK,2000,1490
Denmark,DNK,2010,7640.000000000002
Denmark,DNK,2015,750.0000000000001
Djibouti,DJI,1990,0
Djibouti,DJI,2000,0
Djibouti,DJI,2010,0
Djibouti,DJI,2015,40.000000000000014
Dominican Republic,DOM,1990,37760.000000000015
Dominican Republic,DOM,2000,10070
Dominican Republic,DOM,2010,6110.000000000002
Ecuador,ECU,1990,-90170
Ecuador,ECU,2000,-70229.99999999999
Ecuador,ECU,2010,-41800
Ecuador,ECU,2015,-64269.99999999999
El Salvador,SLV,1990,-4500
El Salvador,SLV,2000,-4500
El Salvador,SLV,2010,-4500
El Salvador,SLV,2015,-4500
Equatorial Guinea,GNQ,2000,-8360
Equatorial Guinea,GNQ,2010,-8360
Equatorial Guinea,GNQ,2015,-8360
Estonia,EST,2000,9710
Estonia,EST,2010,17000
Estonia,EST,2015,3480.0000000000005
Ethiopia,ETH,2000,-73000
Ethiopia,ETH,2010,-73000
Ethiopia,ETH,2015,-73000
Falkland Islands,FLK,1990,0
Falkland Islands,FLK,2000,0
Falkland Islands,FLK,2010,0
Falkland Islands,FLK,2015,0
Faroe Islands,NA,1990,0
Faroe Islands,NA,2000,0
Faroe Islands,NA,2010,0
Faroe Islands,NA,2015,0
Finland,FIN,1990,57030
Finland,FIN,2000,-20360
Finland,FIN,2010,33400
French Guyana,NA,1990,-4560
French Guyana,NA,2000,-4290
French Guyana,NA,2010,-3300.0000000000005
French Guyana,NA,2015,-3430
Gabon,GAB,1990,-6110
Gabon,GAB,2000,-5060.000000000001
Gabon,GAB,2010,-11880
Gabon,GAB,2015,-11880
Georgia,GEO,2000,6180
Georgia,GEO,2010,0
Georgia,GEO,2015,0
Germany,DEU,1990,5400
Germany,DEU,2000,5500
Germany,DEU,2010,2000
Germany,DEU,2015,0
Gibraltar,GIB,1990,0
Gibraltar,GIB,2000,0
Gibraltar,GIB,2010,0
Gibraltar,GIB,2015,0
Greenland,GRL,1990,0
Greenland,GRL,2000,0
Greenland,GRL,2010,0
Greenland,GRL,2015,0
Guadeloupe,GLP,1990,-90
Guadeloupe,GLP,2000,-69.99999999999999
Guadeloupe,GLP,2010,130
Guadeloupe,GLP,2015,-60
Guatemala,GTM,1990,-57200
Guatemala,GTM,2000,-48660
Guatemala,GTM,2010,-27360
Guatemala,GTM,2015,-11600
Guinea,GIN,1990,-34700
Guyana,GUY,1990,-3790
Guyana,GUY,2000,-4440
Guyana,GUY,2010,-11690
Guyana,GUY,2015,-9200
Honduras,HND,1990,-20950
Honduras,HND,2000,-20280
Honduras,HND,2010,-22330
Honduras,HND,2015,-20910
Hungary,HUN,1990,10730
Hungary,HUN,2000,12520
Hungary,HUN,2010,2890.000000000001
Hungary,HUN,2015,-1560
Iceland,ISL,1990,1280
Iceland,ISL,2000,1480
Iceland,ISL,2010,700
Iceland,ISL,2015,640
India,IND,1990,365300
India,IND,2000,190500
India,IND,2010,266400
India,IND,2015,266400
Indonesia,IDN,1990,-1726500
Indonesia,IDN,2000,-162080.00000000003
Indonesia,IDN,2015,-578940
Iraq,IRQ,1990,1400
Iraq,IRQ,2000,700
Iraq,IRQ,2010,0
Iraq,IRQ,2015,0
Ireland,IRL,1990,16869.999999999993
Ireland,IRL,2000,9000
Ireland,IRL,2010,6860
Ireland,IRL,2015,5470
Isle of Man,IMN,1990,0
Isle of Man,IMN,2000,0
Isle of Man,IMN,2010,0
Isle of Man,IMN,2015,0
Italy,ITA,2010,53810
Jamaica,JAM,1990,-30.00000000000003
Jamaica,JAM,2000,3740
Jamaica,JAM,2010,3800
Jamaica,JAM,2015,3890
Kuwait,KWT,1990,140
Kuwait,KWT,2000,140
Kuwait,KWT,2010,0
Kuwait,KWT,2015,0
Kyrgyzstan,KGZ,2000,4880
Kyrgyzstan,KGZ,2010,4430
Kyrgyzstan,KGZ,2015,12710
Latvia,LVA,2000,13110
Latvia,LVA,2010,3860
Latvia,LVA,2015,3870.000000000001
Liberia,LBR,1990,-30260
Liberia,LBR,2000,-30260
Liberia,LBR,2010,-30260
Liberia,LBR,2015,-30260
Liechtenstein,LIE,1990,0
Liechtenstein,LIE,2000,0
Liechtenstein,LIE,2010,0
Liechtenstein,LIE,2015,0
Lithuania,LTU,2000,15000
Lithuania,LTU,2010,3400
Lithuania,LTU,2015,2800
Madagascar,MDG,1990,-66900
Malawi,MWI,1990,-42000
Malawi,MWI,2000,-42000
Malawi,MWI,2010,-42000
Malawi,MWI,2015,-42000
Maldives,MDV,1990,0
Maldives,MDV,2000,0
Maldives,MDV,2010,0
Maldives,MDV,2015,0
Mali,MLI,1990,-79000
Mali,MLI,2000,-79000
Mali,MLI,2010,-79000
Mali,MLI,2015,0
Martinique,MTQ,1990,90.00000000000001
Martinique,MTQ,2000,149.99999999999994
Martinique,MTQ,2010,200
Martinique,MTQ,2015,200
Mauritania,MRT,1990,-5439.999999999998
Mauritania,MRT,2000,-5439.999999999998
Mauritania,MRT,2010,-5439.999999999998
Mauritania,MRT,2015,-5450.000000000002
Mauritius,MUS,1990,90.00000000000001
Mauritius,MUS,2000,-350
Mauritius,MUS,2010,-20.000000000000004
Mauritius,MUS,2015,90
Mayotte,MYT,1990,-340
Mayotte,MYT,2000,-130
Mayotte,MYT,2010,-50
Mayotte,MYT,2015,-50
Mexico,MEX,1990,-221030
Mexico,MEX,2000,-143800
Mexico,MEX,2010,-122480.00000000001
Mexico,MEX,2015,-127770
Moldova,MDA,2000,3010
Moldova,MDA,2010,2380
Moldova,MDA,2015,19.999999999999957
Monaco,MCO,1990,0
Monaco,MCO,2000,0
Monaco,MCO,2010,0
Monaco,MCO,2015,0
Mongolia,MNG,1990,-8810
Mongolia,MNG,2000,-8000
Mongolia,MNG,2010,-1110
Mongolia,MNG,2015,-1110
Montenegro,MNE,2010,0
Montenegro,MNE,2015,0
Morocco,MAR,1990,2120
Morocco,MAR,2000,16799.999999999993
Morocco,MAR,2010,2020
Morocco,MAR,2015,11560
Mozambique,MOZ,1990,-219000
Mozambique,MOZ,2000,-221590
Mozambique,MOZ,2010,-206430
Mozambique,MOZ,2015,-239250
Myanmar,MMR,1990,-435000
Myanmar,MMR,2000,-342700
Myanmar,MMR,2010,-289710
Myanmar,MMR,2015,-289710.0000000001
Nauru,NRU,1990,0
Nauru,NRU,2000,0
Nauru,NRU,2010,0
Nauru,NRU,2015,0
Nepal,NPL,1990,10880
Nepal,NPL,2000,18130
Nepal,NPL,2010,0
Nepal,NPL,2015,0
Netherlands,NLD,1990,1420.0000000000002
Netherlands,NLD,2000,1400
Netherlands,NLD,2010,-1729.9999999999995
Netherlands,NLD,2015,930.0000000000001
New Zealand,NZL,1990,47819.99999999999
New Zealand,NZL,2000,-230.00000000000045
New Zealand,NZL,2010,-299.99999999999886
New Zealand,NZL,2015,9200
Nicaragua,NIC,1990,-100000
Nicaragua,NIC,2000,-121120
Nicaragua,NIC,2010,-56120
Nicaragua,NIC,2015,-100000
Niger,NER,1990,-61690
Niger,NER,2000,-12420
Niger,NER,2010,-12420
Niger,NER,2015,-12420
Nigeria,NGA,1990,-163300
Nigeria,NGA,2000,-163310
Nigeria,NGA,2010,-163310
Nigeria,NGA,2015,-163300
North Korea,PRK,1990,-45730
North Korea,PRK,2000,-21230
North Korea,PRK,2010,-21230
North Korea,PRK,2015,-21230
Norway,NOR,1990,-1900
Norway,NOR,2000,-1099.9999999999995
Norway,NOR,2010,7799.999999999999
Norway,NOR,2015,7799.999999999999
Panama,PAN,1990,-16530
Panama,PAN,2000,-11420
Panama,PAN,2010,-11420
Panama,PAN,2015,-11410
Papua New Guinea,PNG,1990,-12170
Papua New Guinea,PNG,2000,-9910
Papua New Guinea,PNG,2010,-30900
Papua New Guinea,PNG,2015,-33530
Paraguay,PRY,1990,-255420
Paraguay,PRY,2000,-342140
Paraguay,PRY,2010,-414250
Paraguay,PRY,2015,-279340
Peru,PER,1990,-115070
Peru,PER,2000,-124800
Peru,PER,2010,-171050
Peru,PER,2015,-172830
Poland,POL,1990,17700
Poland,POL,2000,27000
Poland,POL,2010,18200
Poland,POL,2015,12600
Portugal,PRT,2010,12000
Qatar,QAT,1990,0
Qatar,QAT,2000,0
Qatar,QAT,2010,0
Qatar,QAT,2015,0
Romania,ROU,2000,14900
Romania,ROU,2010,69200
Romania,ROU,2015,13610
Russia,RUS,2000,586710
Russia,RUS,2010,-41030
Russia,RUS,2015,76230
San Marino,SMR,1990,0
San Marino,SMR,2000,0
San Marino,SMR,2010,0
San Marino,SMR,2015,0
Sao Tome and Principe,STP,1990,-30
Sao Tome and Principe,STP,2000,-30
Sao Tome and Principe,STP,2010,-620
Sao Tome and Principe,STP,2015,-620
Senegal,SEN,2010,-40000
Senegal,SEN,2015,-40000
Serbia,SRB,2010,1309.9999999999998
Serbia,SRB,2015,620
Singapore,SGP,1990,220
Singapore,SGP,2000,69.99999999999999
Singapore,SGP,2010,-250
Singapore,SGP,2015,-180
Slovenia,SVN,2000,1400
Slovenia,SVN,2010,200
Slovenia,SVN,2015,-2029.9999999999998
Somalia,SOM,1990,-76750
Somalia,SOM,2000,-76750
Somalia,SOM,2010,-76750
Somalia,SOM,2015,-76750
South Africa,ZAF,1990,-36399.99999999998
South Africa,ZAF,2000,-36399.99999999998
South Africa,ZAF,2010,-36400.000000000015
South Africa,ZAF,2015,-36400.000000000015
South Korea,KOR,1990,-7500
South Korea,KOR,2000,-8900
South Korea,KOR,2010,-10000
South Korea,KOR,2015,-10000
Spain,ESP,2000,145140
Spain,ESP,2010,1170
Spain,ESP,2015,4200
Sudan,SDN,2015,-170079.99999999994
Suriname,SUR,1990,-3680
Suriname,SUR,2000,-4100.000000000001
Suriname,SUR,2010,-9640
Suriname,SUR,2015,-11080
Sweden,SWE,1990,9999.999999999998
Sweden,SWE,2000,-9000
Sweden,SWE,2010,-18600
Sweden,SWE,2015,0
Switzerland,CHE,1990,4270
Switzerland,CHE,2000,3850.000000000001
Switzerland,CHE,2010,3440.0000000000005
Switzerland,CHE,2015,3440.0000000000005
Syria,SYR,1990,6000
Syria,SYR,2000,4869.999999999997
Syria,SYR,2010,3550.000000000001
Tanzania,TZA,1990,-372000
Tanzania,TZA,2000,-372000
Tanzania,TZA,2010,-372000
Tanzania,TZA,2015,-469000
Thailand,THA,1990,-36300
Thailand,THA,2000,107500
Thailand,THA,2010,-2400.0000000000055
Thailand,THA,2015,-37600
Togo,TGO,1990,-9320
Togo,TGO,2000,-2960
Togo,TGO,2010,-2960
Togo,TGO,2015,-2960
Tokelau,TKL,1990,0
Tokelau,TKL,2000,0
Tokelau,TKL,2010,0
Tokelau,TKL,2015,0
Tunisia,TUN,1990,2390
Tunisia,TUN,2000,1960
Tunisia,TUN,2010,1530.0000000000002
Tunisia,TUN,2015,1530.0000000000002
Turkey,TUR,1990,36490
Turkey,TUR,2000,93470
Turkey,TUR,2010,109440
Turkey,TUR,2015,118010
Uganda,UGA,1990,-41250
Uganda,UGA,2000,-41250
Uganda,UGA,2010,-41250
Uganda,UGA,2015,-41250
Ukraine,UKR,2000,3800
Ukraine,UKR,2010,21800
Ukraine,UKR,2015,6600.000000000001
United Kingdom,GBR,2000,10500
United Kingdom,GBR,2010,19200
United States,USA,1990,108600
United States,USA,2000,518400
United States,USA,2010,275000
Uruguay,URY,2000,36230
Uruguay,URY,2010,37740
Uzbekistan,UZB,2000,38810
Uzbekistan,UZB,2010,39960
Uzbekistan,UZB,2015,28050.000000000004
Vatican,VAT,1990,0
Vatican,VAT,2000,0
Vatican,VAT,2010,0
Vatican,VAT,2015,0
Venezuela,VEN,1990,-287500
Venezuela,VEN,2000,-164600.00000000006
Venezuela,VEN,2010,-164400
Venezuela,VEN,2015,-90420
Vietnam,VNM,1990,240810
Vietnam,VNM,2000,160400
Vietnam,VNM,2010,134760
Vietnam,VNM,2015,116250
World,OWID_WRL,1990,-7818000
World,OWID_WRL,2000,-5117000
World,OWID_WRL,2010,-4801000
World,OWID_WRL,2015,-5150000
Zambia,ZMB,2000,-35800
Zambia,ZMB,2010,-188180
Zambia,ZMB,2015,-188210
Zimbabwe,ZWE,1990,-46070
Zimbabwe,ZWE,2000,-46070
Zimbabwe,ZWE,2010,-46070
Zimbabwe,ZWE,2015,-46070
