Breed,2013 Rank,2014 Rank,2015 Rank,2016 Rank,2017 Rank,2018 Rank,2019 Rank,2020 Rank,links,Image
Retrievers (Labrador),1,1,1,1,1,1,1,1,https://www.akc.org/dog-breeds/labrador-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Labrador-Retriever-illustration.jpg
French Bulldogs,11,9,6,6,4,4,4,2,https://www.akc.org/dog-breeds/french-bulldog/,https://www.akc.org/wp-content/uploads/2017/11/French-Bulldog-Illo-2.jpg
German Shepherd Dogs,2,2,2,2,2,2,2,3,https://www.akc.org/dog-breeds/german-shepherd-dog/,https://www.akc.org/wp-content/uploads/2017/11/German-Shepherd-Dog-Illo-2.jpg
Retrievers (Golden),3,3,3,3,3,3,3,4,https://www.akc.org/dog-breeds/golden-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Golden-Retriever-Illo-2.jpg
Bulldogs,5,4,4,4,5,5,5,5,https://www.akc.org/dog-breeds/bulldog/,https://www.akc.org/wp-content/uploads/2017/11/Bulldog-Illo-2.jpg
Poodles,8,7,8,7,7,7,6,6,https://www.akc.org/dog-breeds/poodle-standard/,https://www.akc.org/wp-content/uploads/2017/11/Standard-Poodle-illustration.jpg
Beagles,4,5,5,5,6,6,7,7,https://www.akc.org/dog-breeds/beagle/,https://www.akc.org/wp-content/uploads/2017/11/Beagle-Illo-2.jpg
Rottweilers,9,10,9,8,8,8,8,8,https://www.akc.org/dog-breeds/rottweiler/,https://www.akc.org/wp-content/uploads/2017/11/Rottweiler-Illo-2.jpg
Pointers (German Shorthaired),13,12,11,11,10,9,9,9,https://www.akc.org/dog-breeds/german-shorthaired-pointer/,https://www.akc.org/wp-content/uploads/2017/11/German-Shorthaired-Pointer-Illo-2.jpg
Dachshunds,10,11,13,13,13,12,11,10,https://www.akc.org/dog-breeds/dachshund/,https://www.akc.org/wp-content/uploads/2017/11/Dachshund-Illo-2.jpg
Pembroke Welsh Corgis,24,22,20,18,15,13,10,11,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/,https://www.akc.org/wp-content/uploads/2017/11/Pembroke-Welsh-Corgi-Illo-2.jpg
Australian Shepherds,20,18,17,16,17,15,13,12,https://www.akc.org/dog-breeds/australian-shepherd/,https://www.akc.org/wp-content/uploads/2017/11/Australian-Shepherd-Illo-2.jpg
Yorkshire Terriers,6,6,7,9,9,10,12,13,https://www.akc.org/dog-breeds/yorkshire-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Yorkshire-Terrier-Illo-2.jpg
Boxers,7,8,10,10,11,11,14,14,https://www.akc.org/dog-breeds/boxer/,https://www.akc.org/wp-content/uploads/2017/11/Boxer-Illo-2.jpg
Great Danes,16,15,15,14,14,16,17,15,https://www.akc.org/dog-breeds/great-dane/,https://www.akc.org/wp-content/uploads/2017/11/Great-Dane-Illo-2.jpg
Siberian Huskies,14,13,12,12,12,14,15,16,https://www.akc.org/dog-breeds/siberian-husky/,https://www.akc.org/wp-content/uploads/2017/11/Siberian-Husky-Illo.jpg
Cavalier King Charles Spaniels,18,19,18,19,19,18,16,17,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Cavalier-King-Charles-Spaniel-illo-2.jpg
Doberman Pinschers,12,14,14,15,16,17,19,18,https://www.akc.org/dog-breeds/doberman-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/Doberman-Pinscher-illustration.jpg
Miniature Schnauzers,17,16,16,17,18,19,18,19,https://www.akc.org/dog-breeds/miniature-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Schnauzer-Illo-2.jpg
Shih Tzu,15,17,19,20,20,20,20,20,https://www.akc.org/dog-breeds/shih-tzu/,https://www.akc.org/wp-content/uploads/2017/11/Shih-Tzu-Illo-2.jpg
Boston Terriers,23,23,22,21,21,21,21,21,https://www.akc.org/dog-breeds/boston-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Boston-Terrier-Illo-2.jpg
Bernese Mountain Dogs,32,32,29,27,25,22,23,22,https://www.akc.org/dog-breeds/bernese-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Bernese-Mountain-Dog-Illo-2.jpg
Pomeranians,19,20,21,22,22,23,24,23,https://www.akc.org/dog-breeds/pomeranian/,https://www.akc.org/wp-content/uploads/2017/11/Pomeranian-Illo-2.jpg
Havanese,25,25,24,23,23,24,22,24,https://www.akc.org/dog-breeds/havanese/,https://www.akc.org/wp-content/uploads/2017/11/Havanese-Illo-2.jpg
Cane Corso,50,48,35,40,37,32,30,25,https://www.akc.org/dog-breeds/cane-corso/,https://www.akc.org/wp-content/uploads/2017/11/Cane-Corso-Illo-2.jpg
Spaniels (English Springer),28,28,27,26,27,27,27,26,https://www.akc.org/dog-breeds/english-springer-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Springer-Spaniel-Illo-2.jpg
Shetland Sheepdogs,21,21,23,24,24,25,25,27,https://www.akc.org/dog-breeds/shetland-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Shetland-Sheepdog-Illo-2.jpg
Brittanys,30,27,26,25,26,26,26,28,https://www.akc.org/dog-breeds/brittany/,https://www.akc.org/wp-content/uploads/2017/11/Brittany-Illo-2.jpg
Pugs,31,33,33,32,31,28,31,29,https://www.akc.org/dog-breeds/pug/,https://www.akc.org/wp-content/uploads/2017/11/Pug-Illo-2.jpg
Spaniels (Cocker),29,30,30,29,29,30,28,30,https://www.akc.org/dog-breeds/cocker-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Cocker-Spaniel-Illo-2.jpg
Miniature American Shepherds,NA,NA,NA,NA,NA,NA,NA,31,https://www.akc.org/dog-breeds/miniature-american-shepherd/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-American-Shepherd-illustration.jpg
Border Collies,44,40,38,38,38,35,33,32,https://www.akc.org/dog-breeds/border-collie/,https://www.akc.org/wp-content/uploads/2017/11/Border-Collie-Illo-2.jpg
Mastiffs,26,26,25,28,28,29,32,33,https://www.akc.org/dog-breeds/mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Mastiff-Illo-2.jpg
Chihuahuas,22,24,28,30,32,33,35,34,https://www.akc.org/dog-breeds/chihuahua/,https://www.akc.org/wp-content/uploads/2017/11/Chihuahua-Illo-2.jpg
Vizslas,34,34,32,31,30,31,34,35,https://www.akc.org/dog-breeds/vizsla/,https://www.akc.org/wp-content/uploads/2017/11/Vizsla-Illo-2.jpg
Basset Hounds,42,42,39,39,39,39,37,36,https://www.akc.org/dog-breeds/basset-hound/,https://www.akc.org/wp-content/uploads/2017/11/Basset-Hound-Illo-2.jpg
Belgian Malinois,60,60,51,47,44,43,41,37,https://www.akc.org/dog-breeds/belgian-malinois/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Malinois-Illo-2.jpg
Maltese,27,29,31,33,33,37,36,38,https://www.akc.org/dog-breeds/maltese/,https://www.akc.org/wp-content/uploads/2017/11/Maltese-Illo-2.jpg
Weimaraners,33,35,34,34,34,36,39,39,https://www.akc.org/dog-breeds/weimaraner/,https://www.akc.org/wp-content/uploads/2017/11/Weimaraner-Illo.jpg
Collies,35,36,36,37,40,38,38,40,https://www.akc.org/dog-breeds/collie/,https://www.akc.org/wp-content/uploads/2017/11/Collie-Illo-2.jpg
Newfoundlands,37,37,37,35,36,40,40,41,https://www.akc.org/dog-breeds/newfoundland/,https://www.akc.org/wp-content/uploads/2017/11/Newfoundland-Illo-2.jpg
Rhodesian Ridgebacks,39,39,40,42,41,41,42,42,https://www.akc.org/dog-breeds/rhodesian-ridgeback/,https://www.akc.org/wp-content/uploads/2017/11/Rhodesian-Ridgeback-Illo-2.jpg
Shiba Inu,46,47,45,44,45,44,45,43,https://www.akc.org/dog-breeds/shiba-inu/,https://www.akc.org/wp-content/uploads/2017/11/Shiba-Inu-Illo-2.jpg
West Highland White Terriers,36,38,41,41,42,42,44,44,https://www.akc.org/dog-breeds/west-highland-white-terrier/,https://www.akc.org/wp-content/uploads/2017/11/West-Highland-White-Terrier-Illo-2.jpg
Bichons Frises,40,44,44,45,46,46,43,45,https://www.akc.org/dog-breeds/bichon-frise/,https://www.akc.org/wp-content/uploads/2017/11/Bichon-Frise-Illo-2.jpg
Bloodhounds,48,50,49,52,50,49,51,46,https://www.akc.org/dog-breeds/bloodhound/,https://www.akc.org/wp-content/uploads/2017/11/Bloodhound-Illo-2.jpg
Spaniels (English Cocker),62,62,60,56,52,52,50,47,https://www.akc.org/dog-breeds/english-cocker-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Cocker-Spaniel-illustration.jpg
Akitas,45,46,46,46,47,47,47,48,https://www.akc.org/dog-breeds/akita/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/06155318/Akita-illustration.jpg
Portuguese Water Dogs,49,52,52,51,54,50,49,49,https://www.akc.org/dog-breeds/portuguese-water-dog/,https://www.akc.org/wp-content/uploads/2017/11/Portuguese-Water-Dog-Illo-2.jpg
Retrievers (Chesapeake Bay),43,41,42,43,43,45,46,50,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Chesapeake-Bay-Retriever-Illo-2.jpg
Dalmatians,64,66,62,62,63,56,60,51,https://www.akc.org/dog-breeds/dalmatian/,https://www.akc.org/wp-content/uploads/2017/11/Dalmatian-Illo-2.jpg
St. Bernards,47,51,50,49,48,48,48,52,https://www.akc.org/dog-breeds/st-bernard/,https://www.akc.org/wp-content/uploads/2017/11/Saint-Bernard-Illo-3.jpg
Papillons,38,43,48,53,53,54,53,53,https://www.akc.org/dog-breeds/papillon/,https://www.akc.org/wp-content/uploads/2017/11/Papillon-Illo-2.jpg
Australian Cattle Dogs,58,55,56,54,56,55,55,54,https://www.akc.org/dog-breeds/australian-cattle-dog/,https://www.akc.org/wp-content/uploads/2017/11/Australian-Cattle-Dog-Illo-2.jpg
Bullmastiffs,41,45,43,48,51,51,52,55,https://www.akc.org/dog-breeds/bullmastiff/,https://www.akc.org/wp-content/uploads/2017/11/Bullmastiff-Illo-2.jpg
Samoyeds,67,68,61,65,57,59,59,56,https://www.akc.org/dog-breeds/samoyed/,https://www.akc.org/wp-content/uploads/2017/11/Samoyed-illo.jpg
Scottish Terriers,55,59,58,58,58,57,57,57,https://www.akc.org/dog-breeds/scottish-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Terrier-Illo-2.jpg
Soft Coated Wheaten Terriers,51,49,47,50,49,53,54,58,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Soft-Coated-Wheaten-Terrier-Illo.jpg
Whippets,59,56,57,60,61,61,58,59,https://www.akc.org/dog-breeds/whippet/,https://www.akc.org/wp-content/uploads/2017/11/Whippet-Illo-2.jpg
Pointers (German Wirehaired),71,71,68,64,62,63,64,60,https://www.akc.org/dog-breeds/german-wirehaired-pointer/,https://www.akc.org/wp-content/uploads/2017/11/German-Wirehaired-Pointer-Illo-2.jpg
Chinese Shar-Pei,54,58,59,61,64,64,66,61,https://www.akc.org/dog-breeds/chinese-shar-pei/,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Shar-Pei-Illo-2.jpg
Airedale Terriers,56,57,53,55,55,60,61,62,https://www.akc.org/dog-breeds/airedale-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Airedale-Terrier-illustration.jpg
Wirehaired Pointing Griffons,80,76,66,66,65,65,63,63,https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Pointing-Griffon-Illo-2.jpg
Bull Terriers,52,53,55,57,60,62,62,64,https://www.akc.org/dog-breeds/bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Bull-Terrrier-Illo.jpg
Alaskan Malamutes,57,54,54,59,59,58,65,65,https://www.akc.org/dog-breeds/alaskan-malamute/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09152345/Alaskan-Malamute-illustration.jpg
Cardigan Welsh Corgis,75,78,76,69,68,68,67,66,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/,https://www.akc.org/wp-content/uploads/2019/03/Cardigan-Welsh-Corgi-Illo-2.jpg
Giant Schnauzers,83,83,81,79,80,78,72,67,https://www.akc.org/dog-breeds/giant-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Giant-Schnauzer-Illo-2.jpg
Old English Sheepdogs,78,77,74,75,70,72,71,68,https://www.akc.org/dog-breeds/old-english-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Old-English-Sheepdog-Illo-2.jpg
Italian Greyhounds,66,74,71,72,74,73,68,69,https://www.akc.org/dog-breeds/italian-greyhound/,https://www.akc.org/wp-content/uploads/2017/11/Italian-Greyhound-Illo-2.jpg
Great Pyrenees,69,75,67,67,66,66,70,70,https://www.akc.org/dog-breeds/great-pyrenees/,https://www.akc.org/wp-content/uploads/2017/11/Great-Pyrenees-Illo-2.jpg
Dogues de Bordeaux,65,63,63,63,67,67,69,71,https://www.akc.org/dog-breeds/dogue-de-bordeaux/,https://www.akc.org/wp-content/uploads/2017/11/Dogue-de-Bordeaux-Illo-2.jpg
Russell Terriers,102,105,104,90,78,82,76,72,https://www.akc.org/dog-breeds/russell-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Russell-Terrier-illustration.jpg
Cairn Terriers,61,69,70,70,69,69,73,73,https://www.akc.org/dog-breeds/cairn-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Cairn-Terrier-Illo-2.jpg
Irish Wolfhounds,73,72,69,73,73,76,77,74,https://www.akc.org/dog-breeds/irish-wolfhound/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Wolfhound-Illo-2.jpg
Setters (Irish),72,73,72,76,72,77,80,75,https://www.akc.org/dog-breeds/irish-setter/,https://www.akc.org/wp-content/uploads/2017/11/Irish_Setter-Illo.jpg
Greater Swiss Mountain Dogs,74,80,78,78,75,74,74,76,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Greater-Swiss-Mountain-Dog-Illo-2.jpg
Miniature Pinschers,53,61,64,68,71,70,75,77,https://www.akc.org/dog-breeds/miniature-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Pinscher-Illo-2.jpg
Lhasa Apsos,63,67,65,71,77,71,79,78,https://www.akc.org/dog-breeds/lhasa-apso/,https://www.akc.org/wp-content/uploads/2017/11/Lhasa-Apso-Illo-2.jpg
Chinese Crested,68,65,75,77,79,79,81,79,https://www.akc.org/dog-breeds/chinese-crested/,https://www.akc.org/wp-content/uploads/2017/11/Chinese-Crested-Illo-2.jpg
Coton de Tulear,NA,NA,NA,NA,NA,NA,NA,80,https://www.akc.org/dog-breeds/coton-de-tulear/,https://www.akc.org/wp-content/uploads/2017/11/Coton-de-Tulear-Illo-2.jpg
Staffordshire Bull Terriers,79,79,79,82,82,80,83,81,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Staffordshire-Bull-Terrier-Illo-2.jpg
American Staffordshire Terriers,76,84,77,81,83,85,86,82,https://www.akc.org/dog-breeds/american-staffordshire-terrier/,https://www.akc.org/wp-content/uploads/2017/11/American-Staffordshire-Terrier-illustration.jpg
Rat Terriers,NA,NA,NA,NA,NA,NA,NA,83,https://www.akc.org/dog-breeds/rat-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Rat-Terrier-Illo-2.jpg
Chow Chows,70,70,73,74,76,75,78,84,https://www.akc.org/dog-breeds/chow-chow/,https://www.akc.org/wp-content/uploads/2017/11/Chow-Chow-Illo-2.jpg
Anatolian Shepherd Dogs,93,94,92,84,86,90,96,85,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/,https://www.akc.org/wp-content/uploads/2017/11/Anatolian-Shepherd-Dog-Illo-2.jpg
Basenjis,85,86,87,88,84,87,88,86,https://www.akc.org/dog-breeds/basenji/,https://www.akc.org/wp-content/uploads/2017/11/Basenji-Illo-2.jpg
Spaniels (Boykin),121,108,107,110,98,100,90,87,https://www.akc.org/dog-breeds/boykin-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Boykin-Spaniel-Illo-2.jpg
Lagotti Romagnoli,NA,NA,NA,NA,NA,NA,NA,88,https://www.akc.org/dog-breeds/lagotto-romagnolo/,https://www.akc.org/wp-content/uploads/2017/11/Lagotto-Romagnolo-illustration.jpg
Brussels Griffons,84,91,95,97,94,98,98,89,https://www.akc.org/dog-breeds/brussels-griffon/,https://www.akc.org/wp-content/uploads/2017/11/Brussels-Griffon-Illo-2.jpg
Retrievers (Nova Scotia Duck Tolling),97,99,99,87,89,83,87,90,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Nova-Scotia-Duck-Tolling-Retriever-Illo-2.jpg
Norwegian Elkhounds,103,103,88,94,91,97,94,91,https://www.akc.org/dog-breeds/norwegian-elkhound/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Elkhound-Illo-2.jpg
Standard Schnauzers,90,90,91,85,90,89,99,92,https://www.akc.org/dog-breeds/standard-schnauzer/,https://www.akc.org/wp-content/uploads/2017/11/Standard-Schnauzer-illustration.jpg
Dogo Argentinos,NA,NA,NA,NA,NA,NA,NA,93,https://www.akc.org/dog-breeds/dogo-argentino/,https://www.akc.org/wp-content/uploads/2017/11/Dogo-Argentino-illustration.jpg
Bouviers des Flandres,82,81,83,83,85,84,93,94,https://www.akc.org/dog-breeds/bouvier-des-flandres/,https://www.akc.org/wp-content/uploads/2017/11/Bouvier-des-Flandres-Illo-2.jpg
Pekingese,77,82,80,93,88,92,84,95,https://www.akc.org/dog-breeds/pekingese/,https://www.akc.org/wp-content/uploads/2017/11/Pekingese-Illo-2.jpg
Keeshonden,86,87,84,92,87,95,89,96,https://www.akc.org/dog-breeds/keeshond/,https://www.akc.org/wp-content/uploads/2017/11/Keeshond-Illo-2.jpg
Border Terriers,81,85,82,86,92,88,85,97,https://www.akc.org/dog-breeds/border-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Border-Terrier-Illo-2.jpg
Leonbergers,98,104,93,95,100,93,97,98,https://www.akc.org/dog-breeds/leonberger/,https://www.akc.org/wp-content/uploads/2017/11/Leonberger-illustration.jpg
Tibetan Terriers,88,88,90,91,101,96,103,99,https://www.akc.org/dog-breeds/tibetan-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Terrier-Illo-2.jpg
