Breed,2013 Rank,2014 Rank,2015 Rank,2016 Rank,2017 Rank,2018 Rank,2019 Rank,2020 Rank,links,Image
Neapolitan Mastiffs,111,114,106,99,107,102,102,100,https://www.akc.org/dog-breeds/neapolitan-mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Neapolitan-Mastiff-Illo-2.jpg
Setters (English),91,89,96,102,95,94,100,101,https://www.akc.org/dog-breeds/english-setter/,https://www.akc.org/wp-content/uploads/2017/11/English-Setter-Illo-2.jpg
Retrievers (Flat-Coated),94,92,86,89,96,91,106,102,https://www.akc.org/dog-breeds/flat-coated-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Flat-Coated-Retriever-Illo-2.jpg
Borzois,99,102,89,98,102,103,107,103,https://www.akc.org/dog-breeds/borzoi/,https://www.akc.org/wp-content/uploads/2017/11/Borzoi-Illo-2.jpg
Fox Terriers (Wire),96,95,94,101,99,101,101,104,https://www.akc.org/dog-breeds/wire-fox-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Wire-Fox-Terrier-illustration.jpg
Miniature Bull Terriers,125,129,121,120,115,110,114,105,https://www.akc.org/dog-breeds/miniature-bull-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Miniature-Bull-Terrier-Illo-2.jpg
Belgian Tervuren,108,110,98,107,103,106,105,106,https://www.akc.org/dog-breeds/belgian-tervuren/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Tervuren-Illo-2.jpg
Setters (Gordon),105,100,105,104,104,115,115,107,https://www.akc.org/dog-breeds/gordon-setter/,https://www.akc.org/wp-content/uploads/2017/11/Gordon-Setter-illustration.jpg
Silky Terriers,92,101,102,100,106,112,111,108,https://www.akc.org/dog-breeds/silky-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Silky-Terrier-Illo.jpg
Norwich Terriers,89,97,103,103,105,108,104,109,https://www.akc.org/dog-breeds/norwich-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Norwich-Terrier-illustration.jpg
Spinoni Italiani,117,118,112,105,111,109,118,110,https://www.akc.org/dog-breeds/spinone-italiano/,https://www.akc.org/wp-content/uploads/2017/11/Spinone-Italiano-Illo.jpg
Japanese Chin,87,93,97,108,108,104,110,111,https://www.akc.org/dog-breeds/japanese-chin/,https://www.akc.org/wp-content/uploads/2017/11/Japanese-Chin-Illo-3.jpg
Welsh Terriers,104,106,108,111,109,107,112,112,https://www.akc.org/dog-breeds/welsh-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Welsh-Terrier-Illo.jpg
Toy Fox Terriers,107,115,110,116,112,111,109,113,https://www.akc.org/dog-breeds/toy-fox-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Toy-Fox-Terrier-Illo.jpg
Schipperkes,109,109,109,112,110,105,108,114,https://www.akc.org/dog-breeds/schipperke/,https://www.akc.org/wp-content/uploads/2017/11/Schipperke-Illo-2.jpg
Parson Russell Terriers,100,116,111,109,119,117,120,115,https://www.akc.org/dog-breeds/parson-russell-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Parson-Russell-Terrier-illustration.jpg
Pointers,114,119,114,117,113,114,117,116,https://www.akc.org/dog-breeds/pointer/,https://www.akc.org/wp-content/uploads/2017/11/Pointer-Illo-2.jpg
Belgian Sheepdogs,119,123,120,129,120,125,128,117,https://www.akc.org/dog-breeds/belgian-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Belgian-Sheepdog-Illo-2.jpg
Tibetan Spaniels,106,122,115,118,121,119,119,118,https://www.akc.org/dog-breeds/tibetan-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Spaniel-Illo.jpg
American Eskimo Dogs,110,120,118,122,118,122,122,119,https://www.akc.org/dog-breeds/american-eskimo-dog/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12155349/American-Eskimo-Dog-illustration.jpg
Irish Terriers,123,125,113,115,114,116,121,120,https://www.akc.org/dog-breeds/irish-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Terrier-Illo-2.jpg
Beaucerons,152,145,142,140,141,124,123,121,https://www.akc.org/dog-breeds/beauceron/,https://www.akc.org/wp-content/uploads/2017/11/Beauceron-Illo-2.jpg
Afghan Hounds,95,98,100,113,93,113,113,122,https://www.akc.org/dog-breeds/afghan-hound/,https://www.akc.org/wp-content/uploads/2017/11/Afghan-Hound-illustration.jpg
Boerboels,NA,NA,NA,NA,NA,NA,NA,123,https://www.akc.org/dog-breeds/boerboel/,https://www.akc.org/wp-content/uploads/2017/11/Boerboel-Illo-2.jpg
Fox Terriers (Smooth),116,124,122,124,122,123,124,124,https://www.akc.org/dog-breeds/smooth-fox-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Smooth-Fox-Terrier-Illo.jpg
Bearded Collies,112,121,119,126,125,127,138,125,https://www.akc.org/dog-breeds/bearded-collie/,https://www.akc.org/wp-content/uploads/2017/11/Bearded-Collie-Illo-2.jpg
Black Russian Terriers,118,127,116,119,116,118,116,126,https://www.akc.org/dog-breeds/black-russian-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Black-Russian-Terrier-Illo-3.jpg
Black and Tan Coonhounds,113,126,127,128,130,138,143,127,https://www.akc.org/dog-breeds/black-and-tan-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Black-And-Tan-Coonhound-Illo.jpg
Spaniels (Welsh Springer),124,133,128,123,133,128,132,128,https://www.akc.org/dog-breeds/welsh-springer-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Welsh-Springer-Spaniel-Illo-2.jpg
American Hairless Terriers,NA,NA,NA,NA,NA,NA,NA,129,https://www.akc.org/dog-breeds/american-hairless-terrier/,https://www.akc.org/wp-content/uploads/2017/11/American-Hairless-Terrier-illustration.jpg
Norfolk Terriers,129,131,131,134,128,126,133,130,https://www.akc.org/dog-breeds/norfolk-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Norfolk-Terrier-Illo-2.jpg
Xoloitzcuintli,139,142,135,139,143,140,139,131,https://www.akc.org/dog-breeds/xoloitzcuintli/,https://www.akc.org/wp-content/uploads/2017/11/Xoloitzcuintli-Illo.jpg
Manchester Terriers,120,136,137,133,135,133,142,132,https://www.akc.org/dog-breeds/manchester-terrier-standard/,https://www.akc.org/wp-content/uploads/2017/11/Standard-Manchester-Terrier-illustration.jpg
Kerry Blue Terriers,126,128,124,127,129,129,135,133,https://www.akc.org/dog-breeds/kerry-blue-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Kerry-Blue-Terrier-Illo-2.jpg
Australian Terriers,122,139,125,136,137,139,144,134,https://www.akc.org/dog-breeds/australian-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Australian-Terrier-Illo-2.jpg
Spaniels (Clumber),131,143,134,144,140,143,136,135,https://www.akc.org/dog-breeds/clumber-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Clumber-Spaniel-Illo-2.jpg
Lakeland Terriers,134,149,141,145,138,147,150,136,https://www.akc.org/dog-breeds/lakeland-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Lakeland-Terrier-Illo-2.jpg
Bluetick Coonhounds,128,130,123,121,132,130,140,137,https://www.akc.org/dog-breeds/bluetick-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Bluetick-Coonhound-Illo-2.jpg
English Toy Spaniels,135,138,129,130,134,135,141,138,https://www.akc.org/dog-breeds/english-toy-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/English-Toy-Spaniel-Illo-2.jpg
German Pinschers,130,141,138,146,136,134,125,139,https://www.akc.org/dog-breeds/german-pinscher/,https://www.akc.org/wp-content/uploads/2017/11/German-Pinscher-Illo-2.jpg
Tibetan Mastiffs,132,135,133,135,153,131,130,140,https://www.akc.org/dog-breeds/tibetan-mastiff/,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Mastiff-Illo.jpg
Bedlington Terriers,137,140,146,138,151,141,153,141,https://www.akc.org/dog-breeds/bedlington-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Bedlington-Terrier-Illo-2.jpg
Greyhounds,148,147,147,151,156,145,164,142,https://www.akc.org/dog-breeds/greyhound/,https://www.akc.org/wp-content/uploads/2017/11/Greyhound-Illo-2.jpg
Pulik,136,151,154,159,142,160,NA,143,https://www.akc.org/dog-breeds/puli/,https://www.akc.org/wp-content/uploads/2017/11/Puli-Illo-2.jpg
Salukis,115,134,132,125,123,120,127,144,https://www.akc.org/dog-breeds/saluki/,https://www.akc.org/wp-content/uploads/2017/11/Saluki-Illo-2.jpg
Barbets,NA,NA,NA,NA,NA,NA,NA,145,https://www.akc.org/dog-breeds/barbet/,https://www.akc.org/wp-content/uploads/2017/11/Barbet-illustration.jpg
Redbone Coonhounds,133,148,139,143,139,142,145,146,https://www.akc.org/dog-breeds/redbone-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Redbone-Coonhound-Illo-2.jpg
Swedish Vallhunds,147,158,155,163,149,169,161,147,https://www.akc.org/dog-breeds/swedish-vallhund/,https://www.akc.org/wp-content/uploads/2017/11/Swedish-Vallhund-Illo.jpg
Sealyham Terriers,158,169,158,155,150,164,156,148,https://www.akc.org/dog-breeds/sealyham-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Sealyham-Terrier-Illo-3.jpg
Spanish Water Dogs,NA,NA,NA,NA,NA,NA,NA,149,https://www.akc.org/dog-breeds/spanish-water-dog/,https://www.akc.org/wp-content/uploads/2017/11/Spanish-Water-Dog-Illo-2.jpg
Briards,127,132,130,132,127,132,137,150,https://www.akc.org/dog-breeds/briard/,https://www.akc.org/wp-content/uploads/2017/11/Briard-Illo-2.jpg
Berger Picards,NA,NA,NA,NA,NA,NA,NA,151,https://www.akc.org/dog-breeds/berger-picard/,https://www.akc.org/wp-content/uploads/2017/11/Berger-Picard-illustration.jpg
Entlebucher Mountain Dogs,155,153,159,161,152,157,169,152,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/,https://www.akc.org/wp-content/uploads/2017/11/Entlebucher-Mountain-Dog-illustration.jpg
Treeing Walker Coonhounds,101,112,117,137,131,137,131,153,https://www.akc.org/dog-breeds/treeing-walker-coonhound/,https://www.akc.org/wp-content/uploads/2017/11/Treeing-Walker-Coonhound-Illo.jpg
Icelandic Sheepdogs,142,146,140,153,144,155,134,154,https://www.akc.org/dog-breeds/icelandic-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Icelandic-Sheepdog-Illo-2.jpg
Wirehaired Vizslas,NA,NA,NA,NA,NA,NA,NA,155,https://www.akc.org/dog-breeds/wirehaired-vizsla/,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Vizsla-Illo-2.jpg
Pumik,NA,NA,NA,NA,NA,NA,NA,156,https://www.akc.org/dog-breeds/pumi/,https://www.akc.org/wp-content/uploads/2017/11/Pumi-Illo-2.jpg
Portuguese Podengo Pequenos,153,166,153,160,159,154,149,157,https://www.akc.org/dog-breeds/portuguese-podengo/,https://www.akc.org/wp-content/uploads/2017/11/Pumi-Illo-2.jpg
Spaniels (American Water),144,160,157,156,167,166,166,158,https://www.akc.org/dog-breeds/american-water-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/American-Water-Spaniel-Illo-2.jpg
Retrievers (Curly-Coated),163,163,151,164,171,162,165,159,https://www.akc.org/dog-breeds/curly-coated-retriever/,https://www.akc.org/wp-content/uploads/2017/11/Curly-Coated-Retriever-illustration.jpg
Spaniels (Field),140,137,145,147,145,149,155,160,https://www.akc.org/dog-breeds/field-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Field-Spaniel-Illo-2.jpg
Lowchen,154,165,161,171,169,168,160,161,https://www.akc.org/dog-breeds/lowchen/,https://www.akc.org/wp-content/uploads/2017/11/Lowchen-Illo.jpg
Nederlandse Kooikerhondjes,NA,NA,NA,NA,NA,NA,NA,162,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/,https://www.akc.org/wp-content/uploads/2017/11/nederlandse_kooikerhondje_illustration.jpg
Affenpinschers,143,144,136,149,147,148,152,163,https://www.akc.org/dog-breeds/affenpinscher/,https://www.akc.org/wp-content/uploads/2017/11/Affenpinscher-illustration.jpg
Petits Bassets Griffons Vendeens,138,150,143,148,160,156,154,164,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/,https://www.akc.org/wp-content/uploads/2017/11/Petit-Basset-Griffon-Vendee-Illo.jpg
Finnish Lapphunds,171,173,169,173,173,161,167,165,https://www.akc.org/dog-breeds/finnish-lapphund/,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Lapphund-Illo-2.jpg
Scottish Deerhounds,165,157,152,154,168,158,151,166,https://www.akc.org/dog-breeds/scottish-deerhound/,https://www.akc.org/wp-content/uploads/2017/11/Scottish-Deerhound-Illo-2.jpg
Plott Hounds,NA,NA,NA,NA,NA,NA,NA,167,https://www.akc.org/dog-breeds/plott-hound/,https://www.akc.org/wp-content/uploads/2017/11/Plott-Illo-2.jpg
Norwegian Buhunds,166,172,165,174,170,165,171,168,https://www.akc.org/dog-breeds/norwegian-buhund/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Buhund-Illo-2.jpg
Glen of Imaal Terriers,167,162,168,180,158,174,170,169,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Glen-of-Imaal-Terrier-Illo-2.jpg
Setters (Irish Red and White),145,155,148,142,154,146,157,170,https://www.akc.org/dog-breeds/irish-red-and-white-setter/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Red-and-White-Setter-Illo-2.jpg
Ibizan Hounds,151,159,160,152,165,152,173,171,https://www.akc.org/dog-breeds/ibizan-hound/,https://www.akc.org/wp-content/uploads/2017/11/Ibizan-Hound-Illo-2.jpg
Spaniels (Sussex),162,175,173,172,161,180,178,172,https://www.akc.org/dog-breeds/sussex-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Sussex-Spaniel-Illo-2.jpg
Bergamasco Sheepdogs,NA,NA,NA,NA,NA,NA,NA,173,https://www.akc.org/dog-breeds/bergamasco-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Bergamasco-Illo.jpg
Spaniels (Irish Water),141,152,144,150,164,159,172,174,https://www.akc.org/dog-breeds/irish-water-spaniel/,https://www.akc.org/wp-content/uploads/2017/11/Irish-Water-Spaniel-illustration.jpg
Polish Lowland Sheepdogs,157,170,164,169,176,170,175,175,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/,https://www.akc.org/wp-content/uploads/2017/11/Polish-Lowland-Sheepdog-Illo-2.jpg
Otterhounds,172,179,180,166,186,182,174,176,https://www.akc.org/dog-breeds/otterhound/,https://www.akc.org/wp-content/uploads/2017/11/Otterhound-Illo-2.jpg
Kuvaszok,150,161,150,165,157,163,168,177,https://www.akc.org/dog-breeds/kuvasz/,https://www.akc.org/wp-content/uploads/2017/11/Kuvasz-Illo-2.jpg
Komondorok,159,168,163,177,163,173,183,178,https://www.akc.org/dog-breeds/komondor/,https://www.akc.org/wp-content/uploads/2017/11/Komondor-Illo-2.jpg
Cirnechi dell Etna,NA,NA,NA,NA,NA,NA,NA,179,https://www.akc.org/dog-breeds/cirneco-delletna/,https://www.akc.org/wp-content/uploads/2017/11/Cirneco-Dell-Etna-Illo.jpg
Pharaoh Hounds,160,164,171,168,174,172,163,180,https://www.akc.org/dog-breeds/pharaoh-hound/,https://www.akc.org/wp-content/uploads/2017/11/Pharaoh-Hound-Illo-2.jpg
Dandie Dinmont Terriers,168,167,172,167,182,176,176,181,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Dandie-Dinmont-Terrier-Illo-2.jpg
Pyrenean Shepherds,169,178,176,176,180,181,184,182,https://www.akc.org/dog-breeds/pyrenean-shepherd/,https://www.akc.org/wp-content/uploads/2017/11/Pyrenean-Shepherd-Illo-2.jpg
Skye Terriers,161,177,175,178,172,178,189,183,https://www.akc.org/dog-breeds/skye-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Skye-Terrier-Illo.jpg
Canaan Dogs,164,176,170,181,175,179,181,184,https://www.akc.org/dog-breeds/canaan-dog/,https://www.akc.org/wp-content/uploads/2017/11/Caanan-Dog-Illo.jpg
American English Coonhounds,146,156,166,170,178,175,177,185,https://www.akc.org/dog-breeds/american-english-coonhound/,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12133614/American-English-Coonhound-illustration.jpg
Chinooks,156,171,177,175,179,190,186,186,https://www.akc.org/dog-breeds/chinook/,https://www.akc.org/wp-content/uploads/2017/11/Chinook.21.jpg
Finnish Spitz,170,174,178,179,177,184,185,187,https://www.akc.org/dog-breeds/finnish-spitz/,https://www.akc.org/wp-content/uploads/2017/11/Finnish-Spitz-Illo-2.jpg
Grand Basset Griffon Vendeens,NA,NA,NA,NA,NA,NA,NA,188,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/,https://www.akc.org/wp-content/uploads/2017/11/GBGV-illustration.jpg
Sloughis,NA,NA,NA,NA,NA,NA,NA,189,https://www.akc.org/dog-breeds/sloughi/,https://www.akc.org/wp-content/uploads/2017/11/Sloughi-Illo.jpg
Harriers,173,181,183,186,183,189,188,190,https://www.akc.org/dog-breeds/harrier/,https://www.akc.org/wp-content/uploads/2017/11/Harrier-Illo-2.jpg
Cesky Terriers,174,182,179,182,185,185,190,191,https://www.akc.org/dog-breeds/cesky-terrier/,https://www.akc.org/wp-content/uploads/2017/11/Cesky-Terrier-Illo-2.jpg
American Foxhounds,176,180,181,189,187,186,191,192,https://www.akc.org/dog-breeds/american-foxhound/,https://www.akc.org/wp-content/uploads/2017/11/American-Foxhound-Illo-2.jpg
Azawakhs,NA,NA,NA,NA,NA,NA,NA,193,https://www.akc.org/dog-breeds/azawakh/,https://www.akc.org/wp-content/uploads/2017/11/Azawakh_illustration.bw_.1.jpg
English Foxhounds,177,183,184,187,189,188,195,194,https://www.akc.org/dog-breeds/english-foxhound/,https://www.akc.org/wp-content/uploads/2017/11/English-Foxhound-Illo-2.jpg
Norwegian Lundehunds,175,184,182,188,190,191,194,195,https://www.akc.org/dog-breeds/norwegian-lundehund/,https://www.akc.org/wp-content/uploads/2017/11/Norwegian-Lundehund-Illo-2.jpg
